,genus,Mean_Score
219,g__2-02-FULL-51-18,1.921891481
220,g__2-02-FULL-52-10,1.834257058
221,g__2-02-FULL-52-16,1.736619116
222,g__2-02-FULL-52-23,1.487523474
223,g__2-02-FULL-53-10,1.665742574
224,g__2-02-FULL-55-14,2.220024243
225,g__2-02-FULL-56-15,2.647523775
226,g__2-02-FULL-56-16,1.347898403
227,g__2-02-FULL-58-16,2.574351108
228,g__2-02-FULL-61-13,2.799049182
229,g__2-02-FULL-61-28,3.028909941
230,g__2-02-FULL-62-14,2.400977391
231,g__2-02-FULL-62-17,4.012675343
232,g__2-02-FULL-63-19,3.201430458
233,g__2-02-FULL-65-29,2.882302548
234,g__2-02-FULL-66-14,2.536867153
235,g__2-02-FULL-66-22,2.732918111
236,g__2-02-FULL-67-20,1.666468314
237,g__2-02-FULL-67-57,2.075507256
238,g__2-12-FULL-35-11,2.314056343
239,g__2-12-FULL-35-15,3.286399228
240,g__2-12-FULL-35-23,2.51014166
241,g__2-12-FULL-36-22,1.914919275
242,g__2-12-FULL-37-11,1.320261405
243,g__2-12-FULL-37-12,2.834832369
244,g__2-12-FULL-37-14,2.370291124
245,g__2-12-FULL-37-34,2.332771323
246,g__2-12-FULL-37-7b,1.467315405
247,g__2-12-FULL-38-22,1.71707041
248,g__2-12-FULL-39-13,2.464918711
249,g__2-12-FULL-40-10,1.372820359
250,g__2-12-FULL-40-12,1.65475839
251,g__2-12-FULL-40-28,2.451110838
252,g__2-12-FULL-41-12,1.75831529
253,g__2-12-FULL-41-13,1.531833339
254,g__2-12-FULL-41-16,1.522252055
255,g__2-12-FULL-41-17,1.311444803
256,g__2-12-FULL-41-20,2.095972098
257,g__2-12-FULL-42-10,2.057222591
258,g__2-12-FULL-42-15,2.049722614
259,g__2-12-FULL-43-11,1.524425974
260,g__2-12-FULL-43-12,1.572282036
261,g__2-12-FULL-43-28,2.176020142
262,g__2-12-FULL-44-25,1.153586528
263,g__2-12-FULL-45-10,1.2758684
264,g__2-12-FULL-45-12,1.838319779
265,g__2-12-FULL-45-22,2.762979437
266,g__2-12-FULL-48-17,1.882047103
