Feature ID	Taxon	Confidence
36dae39c87c9e05e2a808f08e5b671ce	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax_A;s__Rubrivivax_A sp017302505	0.866970018
07eb166d091e1aebe641105881f4f2d3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea	0.977984808
6e6f306a337ba255a7f4a7f8469ff691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp004173475	0.933248672
c4e16e2ca85ff9eb360fd895f75227ca	d__Bacteria	0.999938509
c9eeb9179e405b1fd7846a8aefb864d1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp029238555	0.925864998
3e5cc4006667756b128e551a166d5861	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-6294;g__Oceanobacter;s__Oceanobacter mangrovi	0.851922228
efbe1f58b1e2984ddc53a64f047d94ff	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium sp014200725	0.883728987
936f76885e2ff79dde9adf042e7d4617	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum	0.778730553
fb800d4d7cd0a8e0da07b414fcf21b8c	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__Algoriphagus sp027593175	0.956687824
be45460bb19ae26f588454f3dd7388ec	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__UBA2463 sp009646425	0.998727851
bd217e3552c0912e166951d39a120601	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae	0.772078116
0e4971b9fdfe3044222a19f5b7f167dc	d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.803210862
d1e7069c930bb4790713681f06f84cf0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera	0.914354074
c36646fabf5978777e0e7b08044e9568	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__JAUIHU01;g__JAUIHU01;s__JAUIHU01 sp030432175	0.999492975
34327ad682b105ca4607c44af24c5dd2	d__Bacteria	0.999998326
cfb98993000a7864ecd250723d57b8db	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__UBA9320;s__UBA9320 sp003516975	0.996865875
c530fa2c576c67ce632ce34474b8ea71	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__JAUIHU01;g__JAUIHU01;s__JAUIHU01 sp030432175	0.999652137
02dd75f976cd05e6517f3d4da0a1a415	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter	0.98782138
c52287a7efd223c578b51937b849bf91	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.923692645
211b7bfb480d7e0ba8224a99279d1055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__BJGN01	0.999758592
29b2870e522fa2d0b60ae25278a57c5b	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__UBA11063;g__Aquella;s__Aquella sp008017155	0.959876502
1583d8af9fd9cb078f88c0e1a8b8a888	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter	0.993888422
8b1b6b50ee8e9d52ac980948823b441f	d__Bacteria	0.999997247
1e104b993416995498346089f57fd3bf	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0.99766529
d2af52fc6f48ab4d05c96dad9527d8a2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae	0.999643267
d5c62883f6e56836e55aefb9a15623a5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__Elstera;s__Elstera litoralis	0.999229521
0b06017e8169c7ce93b22574992470dc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__TMED14	0.99945841
a7b57a3495513cb6d0fae02b7d400ac7	d__Bacteria;p__Pseudomonadota	0.998669486
