"","OTU","Wlab","Wlight","Z","Gi","Mlight","Mheavymax","Mlab","A","A_CI_low","A_CI_high","Incorporator","CM_control","CM_treatment","delta_BD","Culture","Substrate","copy_number","id","Domain","Phylum","Class","Order","Family","Genus","Species"
"75","63413adbe8227f80412e824dffac1f5a",1.76914744264406,1.76284760084613,0.00629984179793719,1.39858933305544,308.384700309195,317.661748368582,309.486766547888,0.117474837684324,0.117474837684324,0.117474837684324,TRUE,1.77855117482651,1.76331135944882,-0.015239815377688,"Chemostat","Multi",2,"chemo_carb","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","","",""
"76","64223c9ef560d611f5b9e7e5e78eb7ff",1.76700831541335,1.79802814333481,-0.0310198279214609,1.81988292260214,308.593661929611,317.66059899541,303.269761785892,-0.580652448586273,-0.580652448586273,-0.580652448586273,FALSE,1.80036707226304,1.7689291554445,-0.0314379168185408,"Batch","Single",1,"batch_glu","Bacteria","Proteobacteria","","","","",""
"77","64edc344889f4279a1292afbe81dc043",1.78115905246642,1.77380259672553,0.00735645574088961,1.52977746180555,308.449769621056,317.661390461129,309.728997130753,0.137327874586624,0.137327874586624,0.137327874586624,TRUE,1.78335113109306,1.77654872108505,-0.00680241000801263,"Batch","Single",1,"batch_glu","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Ambiguous_taxa","",""
"78","64edc344889f4279a1292afbe81dc043",1.78243253042368,1.7723662285215,0.0100663019021796,1.51257668337009,308.441238034952,317.661437388292,310.193055786372,0.187886498770657,0.187886498770657,0.187886498770657,TRUE,1.78665352450356,1.77922987668831,-0.00742364781524696,"Batch","Multi",1,"batch_carb","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Ambiguous_taxa","",""
"79","65a75a16ddf0882daec9e72eea3aa180",1.76595393489334,1.76019593701998,0.00575799787336351,1.36683516178454,308.368950240245,317.661835000312,309.377694620545,0.107343941694669,0.107343941694669,0.107343941694669,TRUE,1.7675912464897,1.75125659169435,-0.0163346547953467,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia",""
"80","6650e53404090b74619be81139104295",1.75126977106336,1.78930576969514,-0.0380359986317802,1.71543086359232,308.541853708342,317.660883961518,301.983054354838,-0.711250607862057,-0.711250607862057,-0.711250607862057,FALSE,1.80597792693323,1.74116446172546,-0.0648134652077781,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacter",""
"81","68262884f1021c896f8e1bf7348d773c",1.80793605472506,1.77320864403433,0.0347274106907378,1.52266476701465,308.446241724439,317.661409865983,314.487008189467,0.648239878302926,0.648239878302926,0.648239878302926,TRUE,1.77976012962641,1.80755550594196,0.0277953763155445,"Batch","Single",5,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"82","68262884f1021c896f8e1bf7348d773c",1.7965623860696,1.77081499629939,0.0257473897702143,1.49400038679121,308.432024191848,317.661488068145,312.916580489982,0.48049621170679,0.48049621170679,0.48049621170679,TRUE,1.77282040105499,1.80061164016332,0.0277912391083299,"Batch","Multi",5,"batch_carb","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"83","6a679587c40215f64acb6b0231b57581",1.78498126618061,1.7757595268493,0.00922173933131232,1.55321206678917,308.461393185127,317.661326526839,310.063271434247,0.172183600745602,0.172183600745602,0.172183600745602,TRUE,1.77569513712758,1.78278691751181,0.00709178038422409,"Batch","Single",2,"batch_glu","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","uncultured",""
"84","6b94959874b693c3304e68c57cefd287",1.78669145579569,1.77384483642279,0.0128466193728942,1.53028329009642,308.450020511888,317.661389081128,310.68389121338,0.239817479506402,0.239817479506402,0.239817479506402,TRUE,1.78042103671991,1.78671007222684,0.00628903550692428,"Batch","Multi",1,"batch_carb","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Ambiguous_taxa",""
"85","6b94959874b693c3304e68c57cefd287",1.79499413857082,1.7750685731163,0.0199255654545236,1.54493776634368,308.457289132106,317.661349100786,311.919795312212,0.372012968239784,0.372012968239784,0.372012968239784,TRUE,1.78810155475503,1.78735704256875,-0.000744512186278801,"Batch","Single",1,"batch_glu","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Ambiguous_taxa",""
"86","6e6f306a337ba255a7f4a7f8469ff691",1.78304140852697,1.77353313954839,0.00950826897857193,1.52655066160987,308.448169128158,317.661399264485,310.101821993515,0.177492248083912,0.177492248083912,0.177492248083912,TRUE,1.77955672694485,1.77983531967741,0.000278592732564364,"Batch","Multi",4,"batch_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",""
"87","6e6f306a337ba255a7f4a7f8469ff691",1.81333838930647,1.77420061941695,0.0391377698895263,1.5345438581293,308.452133753632,317.661377457446,315.256397319243,0.730641142733157,0.730641142733157,0.730641142733157,TRUE,1.78773561488374,1.81519494454095,0.0274593296572165,"Batch","Single",4,"batch_glu","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",""
"88","70f086828189cd2b21299d41e077a74a",1.7843362889686,1.77669748468935,0.00763880427924213,1.56444428770811,308.466964366703,317.661295883094,309.793199579909,0.142641979737295,0.142641979737295,0.142641979737295,TRUE,1.79305340336702,1.77845860108159,-0.014594802285427,"Batch","Single",4,"batch_glu","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured",""
"89","710dab4db94586d934436dc307f766c9",1.79356206018528,1.77182643947766,0.0217356207076185,1.50611260840729,308.43803185377,317.661455023582,312.221750124818,0.405670679541169,0.405670679541169,0.405670679541169,TRUE,1.77651921595278,1.79830255435479,0.0217833384020085,"Batch","Multi",4,"batch_carb","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"90","710dab4db94586d934436dc307f766c9",1.80418760182928,1.77470546004064,0.0294821417886395,1.54058941921105,308.455132351929,317.661360963946,313.579316703751,0.550414609268864,0.550414609268864,0.550414609268864,TRUE,1.78498170192196,1.79902731943007,0.0140456175081132,"Batch","Single",4,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"91","740d9b2ea5713119fec5849936b9128b",1.77028438455668,1.76578966512655,0.00449471943012814,1.43382110419072,308.402175267679,317.661652249264,309.187195860361,0.0838381245877316,0.0838381245877316,0.0838381245877316,TRUE,1.7861902827946,1.7652866875708,-0.0209035952238006,"Chemostat","Multi",1,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio","Ambiguous_taxa"
